acc_id,mechanical,op_error,employee
916920,,,
916921,,,
917770,,,
919601,,,
917771,,,
918019,,,
914375,,,
916389,,,
918601,,,
919604,,,
916388,,,
916919,,,
917162,,TRUE,
919602,,,
917861,,,
919418,,,
916803,TRUE,,
916918,,,
917357,,,
919600,,,
917163,,,
917259,,,
917583,,,
918130,,,
918447,,,
917610,,,
916744,,,
914365,,,
917092,,,
917164,,,
918639,,,
912441,,,
916799,,,
917921,,,
918450,,,
918561,,,
914373,,,
917165,,,
917166,,,
917609,,,
917611,,,
916862,,,
917148,,,
916917,,,
917460,,,
917570,,,
917608,,,
918836,,,
914366,,,
914376,,,
916820,,,
918131,,,
919599,,,
914357,,,
914377,TRUE,,
918422,,,
917156,,,
916867,,,
916592,,,
916861,,,
916387,,,
914358,,,
914367,,,
914374,,,
916386,,,
917091,,,
918398,,,
918545,,,
918762,,,
917399,,,
918950,,,
916916,,,
917420,,,
918247,,,
919691,,,
920292,,,
914361,,,
916562,,,
916565,,,
916570,,,
916873,,,
916915,,,
917721,,,
919374,,,
916745,,,
917720,,,
918320,,,
919477,,,
914356,,,
916914,,,
917005,,,
917090,,,
918416,,,
918276,,,
918312,,TRUE,
918905,,,
916571,,,
916746,,,
918278,,,
918403,,,
918409,,,
916751,,,
916385,,,
916913,,,
917089,,,
917975,,,
917976,,,
918021,,,
918204,,,
918417,,,
919060,,,
919118,,,
914354,,,
916546,,,
916588,,,
917088,,,
917915,,,
918582,,,
914355,,,
916553,,,
917914,,,
918538,,,
918675,,,
919633,,,
920196,,,
917150,TRUE,,
914360,,,
914372,,,
916543,,,
916724,TRUE,,
916747,,,
918919,,,
914351,,,
914369,,,
916550,,,
917719,,,
914350,,,
916912,,,
917087,,,
919632,,,
914347,,,
914362,,,
916027,,,
916383,,,
916384,,,
916559,,,
916754,,,
918025,,,
918883,,,
920177,,,
914348,TRUE,,
914368,,,
914371,TRUE,,
916911,,,
917632,,,
918348,,,
918497,,,
918600,,,
918637,,,
919061,,,
914349,TRUE,,
914353,,,
916582,,,
917086,,,
918321,,,
919188,,,
912428,,,
916008,,,
916009,,,
916011,,,
916013,,,
916018,,,
916023,,,
916024,,,
916025,,,
916587,,,
916595,,,
917233,,,
917855,,,
918281,,,
918873,,,
919938,,,
916003,,,
916019,,,
916020,,,
916021,,,
916026,TRUE,TRUE,
916581,,,
916798,TRUE,,
917085,,,
917582,,,
918688,,,
916382,,,
916756,,,
918062,,,
918331,,,
919927,,,
918349,,,
918404,,,
918689,,,
918810,,,
919926,,,
920039,,,
916551,,,
916552,,,
918192,,,
918262,,,
918902,,,
919794,,,
916797,,,
917084,,,
919598,,,
920005,,,
916006,,,
916910,,,
917083,,,
918282,,,
920197,,,
915995,,,
916379,,,
916380,,,
916381,,,
916554,,,
918872,,,
916376,,,
916377,,,
916378,,,
916755,,,
917973,,,
918108,,,
918274,,,
919476,,,
919684,,,
919998,,,
914352,TRUE,,
915989,,,
915990,,,
916375,,,
916555,,,
916748,,,
916757,,,
917226,,TRUE,
918263,,,
919676,,,
915986,,,
915987,TRUE,,
915988,TRUE,,
915992,TRUE,,
915993,TRUE,,
916012,TRUE,,
916017,,,
916374,,,
916735,TRUE,,
917082,,,
918077,,,
918797,,,
919613,,,
920067,,,
920182,,,
914981,,,
915346,,,
916373,,,
916599,,,
916600,,,
916909,,,
917081,,,
1005746,TRUE,,
912427,TRUE,,
914363,,,
915964,,,
915968,,,
915969,,,
915970,,,
915971,,,
915998,TRUE,,
916002,,,
916010,,,
916749,,,
916750,,,
916796,,,
917278,,,
918119,,,
918849,,,
919180,,,
919372,,,
919373,,,
919804,,,
919937,,,
920195,,,
915999,TRUE,,
916000,TRUE,,
916586,TRUE,,
916752,TRUE,,
915962,,,
916004,,,
916005,,,
916372,,,
916908,,,
917647,,,
918222,,,
916001,TRUE,TRUE,
916016,,,
916371,,,
916558,,,
916907,,,
919395,,,
919528,,,
920058,,,
920272,,,
912478,,,
912479,,,
914974,,,
915972,,,
915996,,,
916906,,,
917208,,,
917737,,,
917738,,,
917852,,,
919370,TRUE,TRUE,
918030,,,
918193,,,
919357,TRUE,,
914359,TRUE,,
915984,,,
916367,,,
916368,,,
916369,,,
916370,,,
916567,,,
917018,,TRUE,
917080,,,
917736,,,
918418,,,
912477,,,
914968,,,
914969,,,
916364,,,
916365,,,
916366,,,
916569,,,
916723,,,
916905,,,
917193,,TRUE,
917279,,,
918850,,,
919596,,,
919950,,,
920193,,,
914370,,,
914971,,,
914973,,,
916722,TRUE,,
916903,,,
916904,,,
914967,,,
914970,TRUE,,
916361,,,
916362,,,
916363,,,
916575,,,
918109,,,
918266,,,
918629,,,
918656,,,
919855,,,
914963,,,
914966,TRUE,,
915997,,,
916360,,,
916542,,,
916902,,,
918886,,,
919751,,,
915965,TRUE,,
916359,,,
916860,,,
916871,,,
917007,,TRUE,
917017,,TRUE,
917036,TRUE,TRUE,
917079,,,
917569,,,
917718,,,
919349,,,
919369,,,
920164,,,
912426,,TRUE,
914929,TRUE,,
914979,,,
915976,TRUE,,
915985,,,
916015,,,
916556,,,
